,Demand70,Demand80,Demand90
2020,1.25,0.9,1.875
2021,163.75,117.0,116.25
2022,202.5,51.300000000000004,180.0
2023,178.75,72.0,155.625
2024,158.75,146.70000000000002,135.0
2025,119.62500000000001,67.5,75.0
2026,162.25,82.8,144.375
2027,123.75000000000001,130.5,142.5
2028,122.37500000000001,114.3,172.5
2029,99.00000000000001,76.5,148.125
2030,196.0,184.5,122.5
2031,77.69999999999999,67.5,68.75
2032,172.2,169.20000000000002,107.5
2033,109.55,118.8,137.5
2034,137.54999999999998,172.8,106.25
2035,167.0,119.7,95.0
2036,155.5,184.5,216.25
2037,145.5,209.70000000000002,160.0
2038,108.0,135.0,118.75
2039,175.0,140.4,212.5
2040,134.0,127.8,72.5
2041,104.5,152.1,143.75
2042,153.5,193.5,136.25
2043,217.0,207.9,146.25
2044,209.0,214.20000000000002,180.0
2045,118.0,171.0,132.5
2046,148.5,130.5,138.75
2047,158.5,171.9,165.0
2048,160.0,192.6,161.25
2049,110.5,130.5,93.75
2050,132.5,177.3,217.5
2051,163.0,247.5,180.0
2052,212.5,158.4,237.5
2053,170.5,106.2,151.25
2054,225.5,261.90000000000003,273.75
2055,189.5,254.70000000000002,143.75
2056,207.5,144.0,203.75
2057,233.0,225.0,151.25
2058,252.5,337.5,320.0
2059,262.5,263.7,303.75
2060,233.5,290.7,291.25
2061,186.5,254.70000000000002,177.5
2062,189.5,315.0,257.5
2063,196.5,288.0,188.75
2064,193.0,392.40000000000003,195.0
2065,188.0,243.0,263.75
2066,149.5,246.6,238.75
2067,193.0,288.90000000000003,245.0
2068,171.0,203.4,213.75
2069,152.5,290.7,232.5
2070,165.5,255.6,258.75
2071,192.0,211.5,282.5
2072,255.0,408.6,278.75
2073,185.5,308.7,300.0
2074,159.0,212.4,206.25
2075,152.5,300.6,165.0
2076,240.5,350.1,245.0
2077,207.0,288.90000000000003,240.0
2078,165.5,282.6,340.0
2079,187.5,272.7,246.25
2080,131.0,194.4,223.75
2081,208.5,252.9,290.0
2082,188.0,263.7,295.0
2083,98.0,185.4,185.0
2084,127.0,207.9,266.25
2085,96.5,163.8,218.75
2086,166.0,150.3,188.75
2087,145.0,230.4,178.75
2088,87.5,159.3,126.25
2089,137.5,252.9,253.75
2090,81.5,122.4,127.5
2091,150.5,232.20000000000002,177.5
2092,204.5,324.90000000000003,232.5
2093,152.5,249.3,223.75
2094,91.5,137.70000000000002,156.25
2095,111.5,227.70000000000002,161.25
2096,154.5,280.8,238.75
2097,82.0,143.1,181.25
2098,70.5,94.5,182.5
2099,105.0,126.9,91.25
2100,1.0,1.0,1.0
