,Levee1,Levee2,Levee3,Levee4,Levee5
2020,0.46,1.0,0.82423,0.3,0.6
2021,1141.72,747.0,741.807,496.79999999999995,297.84000000000003
2022,1187.26,955.0,609.9302,331.8,309.72
2023,731.86,597.0,511.0226,327.9,190.92000000000002
2024,663.78,557.0,552.2341,233.39999999999998,173.16
2025,630.6600000000001,476.0,497.8908000000001,311.75,329.03999999999996
2026,553.38,369.0,433.34940000000006,372.81,288.72
2027,580.98,552.0,477.60636000000005,278.21,303.12
2028,609.96,588.0,481.2944400000001,369.8,318.23999999999995
2029,354.2,274.0,407.5328400000001,356.9,184.79999999999998
2030,500.48,445.0,592.3391760000002,608.8000000000001,470.01599999999996
2031,281.06,315.0,441.3123000000001,440.0,263.95199999999994
2032,453.56,495.0,498.19255200000003,598.4,425.95199999999994
2033,254.84,389.0,402.08454000000006,468.0,239.32799999999997
2034,344.54,377.0,425.62119600000005,446.40000000000003,323.568
2035,310.5,447.0,357.40848000000005,612.0,405.0
2036,265.88,460.0,625.4648400000001,594.0,346.8
2037,277.84000000000003,448.0,531.75408,552.0,362.4
2038,387.78000000000003,449.0,433.68468000000007,541.0,505.79999999999995
2039,325.68,386.0,424.9674,474.0,424.8
2040,339.48,372.0,332.48600000000005,499.20000000000005,575.64
2041,258.06,308.0,564.388,480.8,437.58000000000004
2042,272.78000000000003,396.0,651.0020000000001,500.0,462.53999999999996
2043,313.72,422.0,564.388,560.0,531.96
2044,287.5,362.0,511.302,376.8,487.5
2045,182.16,307.0,444.24600000000004,369.0,475.2
2046,171.58,163.0,279.40000000000003,490.0,447.59999999999997
2047,339.48,375.0,662.1780000000001,541.0,885.6
2048,208.84,287.0,659.384,508.0,544.8
2049,188.6,239.0,388.36600000000004,441.0,492.0
2050,162.84,292.0,407.9240000000001,614.46,566.4
2051,152.835,262.0,363.22,582.12,531.6
2052,190.44,458.0,469.39200000000005,710.01,662.4
2053,177.675,214.0,452.62800000000004,477.75,618.0
2054,224.94,341.0,525.272,649.74,782.4
2055,178.53750000000002,337.0,519.6840000000001,743.8199999999999,828.0
2056,117.4725,321.0,424.68800000000005,589.47,544.8
2057,146.97000000000003,337.0,393.95400000000006,605.64,681.6
2058,146.45250000000001,457.0,519.6840000000001,906.99,679.1999999999999
2059,179.5725,269.0,651.0020000000001,787.92,832.8
2060,198.03000000000003,436.0,561.594,967.26,1033.2
2061,145.935,259.0,407.9240000000001,732.06,761.4
2062,181.125,264.0,536.4480000000001,721.77,945.0
2063,131.44500000000002,492.0,265.43000000000006,499.8,685.8
2064,133.51500000000001,243.0,324.10400000000004,399.84,696.6
2065,131.10000000000002,387.0,522.4780000000001,507.15,820.8
2066,107.98500000000001,314.0,321.31000000000006,451.28999999999996,676.0799999999999
2067,129.375,398.0,461.0100000000001,643.86,810.0
2068,112.125,273.0,388.36600000000004,424.83,702.0
2069,137.65500000000003,233.0,430.276,523.3199999999999,861.84
2070,106.26,286.0,360.42600000000004,646.8,665.28
2071,106.94999999999999,185.0,215.138,671.79,669.6
2072,133.17000000000002,322.0,502.9200000000001,761.46,833.7600000000001
2073,114.19500000000002,256.0,377.19,410.13,714.96
2074,106.94999999999999,302.0,340.86800000000005,535.08,669.6
2075,83.145,188.0,399.54200000000003,324.87,520.56
2076,86.94,261.0,354.838,708.54,544.32
2077,127.995,233.0,360.42600000000004,561.54,801.36
2078,105.22500000000001,252.0,368.80800000000005,414.54,658.8
2079,71.07000000000001,240.0,349.25,657.09,444.96
2080,58.995,358.0,368.80800000000005,276.36,369.36
2081,105.22500000000001,201.0,307.34000000000003,411.59999999999997,658.8
2082,95.91000000000001,311.0,472.18600000000004,379.26,600.48
2083,37.95,167.0,111.76,289.59,237.6
2084,58.650000000000006,165.0,209.55,383.67,367.2
2085,65.55000000000001,219.0,148.08200000000002,339.57,410.4
2086,87.97500000000001,139.0,212.34400000000002,501.27,550.8
2087,48.99000000000001,258.0,229.108,540.96,306.71999999999997
2088,33.120000000000005,204.0,139.70000000000002,295.46999999999997,207.36
2089,62.79,260.0,293.37000000000006,308.7,393.12
2090,72.45,129.0,262.636,342.51,453.59999999999997
2091,86.25,347.0,279.40000000000003,298.40999999999997,540.0
2092,102.465,185.0,363.22,523.3199999999999,641.52
2093,86.595,198.0,377.19,308.7,542.16
2094,46.92,186.0,111.76,292.53,293.76
2095,67.275,231.0,366.01400000000007,245.49,421.2
2096,69.345,242.0,293.37000000000006,332.21999999999997,434.16
2097,31.740000000000002,176.0,167.64000000000001,226.38,198.72
2098,54.855000000000004,176.0,167.64000000000001,310.17,343.44
2099,90.735,161.0,215.138,192.57,568.08
2100,0.46,1.0,1.27,1.0,1.0
