,Sites1,Sites2,Sites3
2020,1.0,1.0,1.0
2021,1483.0,1716.0,1920.0
2022,1017.0,1270.0,1390.0
2023,1078.0,945.0,1390.0
2024,648.0,735.0,1090.0
2025,565.0,635.0,900.0
2026,605.0,730.0,930.0
2027,620.0,855.0,922.0
2028,675.0,675.0,894.0
2029,518.0,495.0,674.0
2030,508.0,675.0,850.0
2031,371.0,445.0,454.0
2032,557.0,684.0,618.0
2033,462.0,447.0,626.0
2034,392.0,496.0,558.0
2035,304.0,424.0,546.0
2036,495.0,559.0,580.0
2037,433.0,478.0,494.0
2038,284.0,420.0,310.0
2039,324.0,439.0,402.0
2040,336.0,513.0,392.0
2041,347.0,445.0,392.0
2042,376.0,370.0,482.0
2043,295.0,513.0,404.0
2044,327.0,433.0,636.0
2045,202.0,348.0,494.0
2046,170.0,275.0,206.0
2047,388.0,357.0,548.0
2048,327.0,320.0,438.0
2049,257.0,324.0,408.0
2050,233.0,365.0,516.0
2051,218.0,237.0,278.0
2052,253.0,438.0,474.0
2053,249.0,295.0,364.0
2054,305.0,356.0,452.0
2055,241.0,349.0,538.0
2056,156.0,240.0,348.0
2057,284.0,389.0,318.0
2058,263.0,531.0,632.0
2059,284.0,484.0,522.0
2060,248.0,433.0,496.0
2061,184.0,272.0,314.0
2062,263.0,330.0,356.0
2063,178.0,250.0,282.0
2064,228.0,230.0,428.0
2065,223.0,270.0,444.0
2066,166.0,205.0,332.0
2067,187.0,234.0,350.0
2068,140.0,275.0,196.0
2069,203.0,281.0,264.0
2070,191.0,222.0,192.0
2071,122.0,241.0,216.0
2072,268.0,347.0,340.0
2073,235.0,312.0,230.0
2074,165.0,192.0,176.0
2075,202.0,194.0,264.0
2076,257.0,295.0,374.0
2077,183.0,260.0,260.0
2078,281.0,215.0,246.0
2079,119.0,215.0,248.0
2080,207.0,84.0,130.0
2081,146.0,270.0,210.0
2082,175.0,295.0,298.0
2083,146.0,110.0,152.0
2084,232.0,242.0,256.0
2085,154.0,115.0,142.0
2086,132.0,140.0,196.0
2087,83.0,210.0,188.0
2088,116.0,139.0,150.0
2089,253.0,300.0,208.0
2090,101.0,160.0,104.0
2091,173.0,165.0,194.0
2092,213.0,202.0,242.0
2093,140.0,120.0,282.0
2094,102.0,120.0,116.0
2095,134.0,160.0,260.0
2096,217.0,265.0,230.0
2097,62.0,145.0,160.0
2098,130.0,216.0,120.0
2099,103.0,165.0,234.0
2100,1.0,1.0,1.0
