,OpPolA,OpPolB
2020,1.0,1.0
2021,446.0,530.0
2022,260.0,335.0
2023,325.0,285.0
2024,224.0,235.0
2025,155.0,200.0
2026,245.0,230.0
2027,250.0,279.0
2028,200.0,215.0
2029,195.0,220.0
2030,160.0,188.0
2031,108.0,193.0
2032,224.0,195.0
2033,146.0,142.0
2034,175.0,142.0
2035,155.0,139.0
2036,129.0,116.0
2037,128.0,177.0
2038,110.0,158.0
2039,172.0,138.0
2040,99.0,105.0
2041,197.0,126.0
2042,208.0,218.0
2043,179.0,117.0
2044,130.0,141.0
2045,82.0,77.0
2046,53.0,65.0
2047,226.0,162.0
2048,181.0,148.0
2049,75.0,98.0
2050,151.0,118.0
2051,147.0,161.0
2052,84.0,111.0
2053,57.0,127.0
2054,148.0,150.0
2055,174.0,140.0
2056,96.0,79.0
2057,142.0,86.0
2058,203.0,168.0
2059,189.0,109.0
2060,173.0,146.0
2061,147.0,104.0
2062,160.0,87.0
2063,192.0,127.0
2064,191.0,119.0
2065,139.0,126.0
2066,127.0,97.0
2067,215.0,154.0
2068,164.0,36.0
2069,168.0,113.0
2070,187.0,101.0
2071,155.0,103.0
2072,168.0,175.0
2073,174.0,114.0
2074,106.0,99.0
2075,122.0,83.0
2076,169.0,97.0
2077,143.0,113.0
2078,135.0,121.0
2079,155.0,130.0
2080,179.0,79.0
2081,122.0,92.0
2082,228.0,139.0
2083,102.0,77.0
2084,192.0,137.0
2085,101.0,88.0
2086,173.0,72.0
2087,149.0,114.0
2088,124.0,104.0
2089,226.0,106.0
2090,114.0,50.0
2091,143.0,75.0
2092,176.0,96.0
2093,197.0,95.0
2094,88.0,100.0
2095,115.0,97.0
2096,189.0,79.0
2097,96.0,28.0
2098,113.0,118.0
2099,107.0,87.0
2100,1.0,1.0
